ID,TeamName,Conference,Division,Captain,Teammate,Location,DivAbbrev
A1,2k9 Boyz,US,Aftermath,Ray2k9boyz,Donp DC 2k9Boyz,DC / FL,AM
A2,Glory Carriers,US,Aftermath,flying828to829,Noah: Glory Carriers,North Carolina,AM
A3,JQ Suited,US,Aftermath,Quin,Jan,"Durham, NC",AM
A4,Mad Setters,US,Aftermath,Charlie,Deo MadSetters,Pennsylvania,AM
A5,PG2020,US,Aftermath,Keaton_PG2920,LadyJ_PG2920,"Waldorf, MD",AM
B1,Double Ds,US,Ruff Ryders,Devon,Dazzlingdg1,New York,RR
B2,Gotham Knights,US,Ruff Ryders,BlackAdam,StarFire,NC / NY,RR
B3,Jerzey Finest,US,Ruff Ryders,WorildsBest JerzeyFinest,Mr. Su Daddy,SC / NJ,RR
B4,Knuck If You Stuck,US,Ruff Ryders,Aceito420,Borah,"Newark, NJ",RR
B5,Miller Time,US,Ruff Ryders,Rispekmigame,Awizonme,MI / NC,RR
C1,Chaos Control,US,State Property,ROC,KJB ChaosControl,GA / IL,SP
C2,House of Minicks,US,State Property,House of Minicks,Avis Minick,"Bridgeport, PA",SP
C3,PGs Finest,US,State Property,Charles Williams,Furmane,Maryland,SP
C4,TC Tricksters,US,State Property,Mommy,DTX.aggie,TX / NC,SP
C5,Team Bui,US,State Property,Diggy B,EasyMoneySniper,Virginia,SP
D1,Call A Spade A Spade,THEM,Death Row,Coachbarnes2_,measycallaspadeaspade,"Bakersfield, CA",DR
D2,Kimasha,THEM,Death Row,Dasha KH,AkDj,"Anchorage, Alaska ",DR
D3,Star Studded,THEM,Death Row,Dee,Reece,Texas,DR
D4,That Couple,THEM,Death Row,That Dude,That Chick,"St. Louis, MO",DR
D5,Team Aries,THEM,Death Row,Captain,Teammate,Unknown,DR
E1,M2S,THEM,No Limit,Aj2Letter,Rozay,NC / NY,NL
E2,Team Marfo,THEM,No Limit,KojoTeamMarfo,TjohnTeamMarfo,"Fort Lauderdale, FL",NL
E3,Cutting Cuzzins,THEM,No Limit,Richcuttincuzzins,Nalas.nailscuttincuzzins,FL / PA,NL
E4,Toshiba Auggie,THEM,No Limit,Tasha,ALeona,North Carolina,NL
E5,Us,THEM,No Limit,MzGSquared,AfroAussie,Australia / NY,NL
F1,Brick City,THEM,Roc-A-Fella,Grind,Insane,SC / NJ,RF
F2,Croatias Best,THEM,Roc-A-Fella,Dori,Rich,Croatia / Romania,RF
F3,Gerow Animals,THEM,Roc-A-Fella,Chad Upson,Junslugger,New York,RF
F4,Takers,THEM,Roc-A-Fella,Percy Jones/Takers,KB,GA / PA,RF
F5,Dubs,THEM,Roc-A-Fella,K-Dub,C-Dub,"Atlanta, GA",RF