ID,Date,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeBags,AwayBags,Hands
149,2023-12-18,Jerzeys Finest,Miller Time,509,356,9,6,10
150,2023-12-18,PG2020,Glory Carriers,509,339,9,9,9
151,2023-12-18,Kimasha,That Couple,514,319,4,9,4
152,2023-12-18,Team Bui,TC Tricksters,538,-137,8,3,6
153,2023-12-18,Croatias Best,Cutting Cuzzins,0,0,0,0,0
154,2023-12-18,Brick City,Takers,0,1,0,0,0
155,2023-12-19,Team Marfo,Toshiba Auggie,528,412,8,12,11
156,2023-12-19,TC Tricksters,Cutting Cuzzins,1,0,0,0,0
157,2023-12-19,Miller Time,2k9 Boyz,333,505,3,15,8
158,2023-12-19,Gerow Animals,Call A Spade A Spade,1,0,0,0,0
159,2023-12-19,Dubs,Takers,504,-399,14,1,10
160,2023-12-19,Croatias Best,Us,0,1,0,0,0
161,2023-12-19,Chaos Control,PGs Finest,518,-87,8,3,6
162,2023-12-19,That Couple,Knuck If You Stuck,519,247,9,7,11
163,2023-12-20,Gotham Knights,Jerzeys Finest,387,534,7,14,9
164,2023-12-20,Us,Toshiba Auggie,476,503,6,13,12
165,2023-12-20,Chaos Control,2k9 Boyz,507,-166,7,4,8
166,2023-12-20,Call A Spade A Spade,That Couple,0,1,0,0,0
167,2023-12-20,M2S,Star Studded,167,538,7,8,13
168,2023-12-20,Team Bui,House of Minicks,1,0,0,0,0
169,2023-12-20,Mad Setters,Double Ds,0,1,0,0,0
170,2023-12-21,Us,Team Marfo,261,504,1,14,9
171,2023-12-21,Kimasha,Cutting Cuzzins,1,0,0,0,0
172,2023-12-21,House of Minicks,TC Tricksters,135,514,5,4,6
173,2023-12-21,Gerow Animals,M2S,188,514,8,14,13
174,2023-12-21,Dubs,StickemUp,1,0,0,0,0
175,2023-12-21,Call A Spade A Spade,Star Studded,0,1,0,0,0
176,2023-12-21,2k9 Boyz,Double Ds,506,338,26,8,13
177,2023-12-21,Knuck If You Stuck,Team Bui,557,447,7,7,8
178,2023-12-21,Brick City,Croatias Best,0,1,0,0,0